"exchange_name","zh_company_abbr","stock_code"
Shenzhen Stock Exchange,山推股份,"000680"
Shenzhen Stock Exchange,视觉中国,"000681"
Shenzhen Stock Exchange,东方电子,"000682"
Shenzhen Stock Exchange,博源化工,"000683"
Shenzhen Stock Exchange,中山公用,"000685"
Shenzhen Stock Exchange,东北证券,"000686"
Shenzhen Stock Exchange,国城矿业,"000688"
Shenzhen Stock Exchange,宝新能源,"000690"
Shenzhen Stock Exchange,*ST亚太,"000691"
Shenzhen Stock Exchange,惠天热电,"000692"
Shenzhen Stock Exchange,滨海能源,"000695"
Shenzhen Stock Exchange,宗申动力,"001696"
Shenzhen Stock Exchange,*ST炼石,"000697"
Shenzhen Stock Exchange,ST沈化,"000698"
Shenzhen Stock Exchange,模塑科技,"000700"
Shenzhen Stock Exchange,厦门信达,"000701"
Shenzhen Stock Exchange,正虹科技,"000702"
Shenzhen Stock Exchange,恒逸石化,"000703"
Shenzhen Stock Exchange,浙江震元,"000705"
Shenzhen Stock Exchange,双环科技,"000707"
Shenzhen Stock Exchange,中信特钢,"000708"
Shenzhen Stock Exchange,河钢股份,"000709"
Shenzhen Stock Exchange,贝瑞基因,"000710"
Shenzhen Stock Exchange,ST京蓝,"000711"
Shenzhen Stock Exchange,锦龙股份,"000712"
Shenzhen Stock Exchange,国投丰乐,"000713"
Shenzhen Stock Exchange,中兴商业,"000715"
Shenzhen Stock Exchange,黑芝麻,"000716"
Shenzhen Stock Exchange,中南股份,"000717"
Shenzhen Stock Exchange,苏宁环球,"000718"
Shenzhen Stock Exchange,中原传媒,"000719"
Shenzhen Stock Exchange,新能泰山,"000720"
Shenzhen Stock Exchange,西安饮食,"000721"
Shenzhen Stock Exchange,湖南发展,"000722"
Shenzhen Stock Exchange,美锦能源,"000723"
Shenzhen Stock Exchange,冠捷科技,"000727"
Shenzhen Stock Exchange,国元证券,"000728"
Shenzhen Stock Exchange,燕京啤酒,"000729"
Shenzhen Stock Exchange,四川美丰,"000731"
Shenzhen Stock Exchange,振华科技,"000733"
Shenzhen Stock Exchange,罗牛山,"000735"
Shenzhen Stock Exchange,*ST中地,"000736"
Shenzhen Stock Exchange,北方铜业,"000737"
Shenzhen Stock Exchange,航发控制,"000738"
Shenzhen Stock Exchange,普洛药业,"000739"
Shenzhen Stock Exchange,国海证券,"000750"
Shenzhen Stock Exchange,锌业股份,"000751"
Shenzhen Stock Exchange,ST西发,"000752"
Shenzhen Stock Exchange,漳州发展,"000753"
Shenzhen Stock Exchange,山西高速,"000755"
Shenzhen Stock Exchange,新华制药,"000756"
Shenzhen Stock Exchange,浩物股份,"000757"
Shenzhen Stock Exchange,中色股份,"000758"
Shenzhen Stock Exchange,中百集团,"000759"
Shenzhen Stock Exchange,本钢板材,"000761"
Shenzhen Stock Exchange,西藏矿业,"000762"
Shenzhen Stock Exchange,汇绿生态,"001267"
Shenzhen Stock Exchange,通化金马,"000766"
Shenzhen Stock Exchange,晋控电力,"000767"
Shenzhen Stock Exchange,中航西飞,"000768"
Shenzhen Stock Exchange,广发证券,"000776"
Shenzhen Stock Exchange,中核科技,"000777"
Shenzhen Stock Exchange,新兴铸管,"000778"
Shenzhen Stock Exchange,甘咨询,"000779"
Shenzhen Stock Exchange,恒申新材,"000782"
Shenzhen Stock Exchange,长江证券,"000783"
Shenzhen Stock Exchange,居然智家,"000785"
Shenzhen Stock Exchange,北新建材,"000786"
Shenzhen Stock Exchange,北大医药,"000788"
Shenzhen Stock Exchange,万年青,"000789"
Shenzhen Stock Exchange,华神科技,"000790"
Shenzhen Stock Exchange,甘肃能源,"000791"
Shenzhen Stock Exchange,盐湖股份,"000792"
Shenzhen Stock Exchange,ST华闻,"000793"
Shenzhen Stock Exchange,英洛华,"000795"
Shenzhen Stock Exchange,凯撒旅业,"000796"
Shenzhen Stock Exchange,中国武夷,"000797"
Shenzhen Stock Exchange,中水渔业,"000798"
Shenzhen Stock Exchange,酒鬼酒,"000799"
Shenzhen Stock Exchange,一汽解放,"000800"
Shenzhen Stock Exchange,四川九洲,"000801"
Shenzhen Stock Exchange,北京文化,"000802"
Shenzhen Stock Exchange,山高环能,"000803"
Shenzhen Stock Exchange,云铝股份,"000807"
Shenzhen Stock Exchange,和展能源,"000809"
Shenzhen Stock Exchange,创维数字,"000810"
Shenzhen Stock Exchange,冰轮环境,"000811"
Shenzhen Stock Exchange,陕西金叶,"000812"
Shenzhen Stock Exchange,德展健康,"000813"
Shenzhen Stock Exchange,美利云,"000815"
Shenzhen Stock Exchange,智慧农业,"000816"
Shenzhen Stock Exchange,航锦科技,"000818"
Shenzhen Stock Exchange,岳阳兴长,"000819"
Shenzhen Stock Exchange,*ST节能,"000820"
Shenzhen Stock Exchange,京山轻机,"000821"
Shenzhen Stock Exchange,山东海化,"000822"
Shenzhen Stock Exchange,超声电子,"000823"
Shenzhen Stock Exchange,太钢不锈,"000825"
Shenzhen Stock Exchange,启迪环境,"000826"
Shenzhen Stock Exchange,东莞控股,"000828"
Shenzhen Stock Exchange,天音控股,"000829"
Shenzhen Stock Exchange,鲁西化工,"000830"
Shenzhen Stock Exchange,中国稀土,"000831"
Shenzhen Stock Exchange,粤桂股份,"000833"
Shenzhen Stock Exchange,财信发展,"000838"
Shenzhen Stock Exchange,国安股份,"000839"
Shenzhen Stock Exchange,承德露露,"000848"
Shenzhen Stock Exchange,华茂股份,"000850"
Shenzhen Stock Exchange,*ST高鸿,"000851"
Shenzhen Stock Exchange,石化机械,"000852"
Shenzhen Stock Exchange,冀东装备,"000856"
Shenzhen Stock Exchange,五粮液,"000858"
Shenzhen Stock Exchange,国风新材,"000859"
Shenzhen Stock Exchange,顺鑫农业,"000860"
Shenzhen Stock Exchange,银星能源,"000862"
Shenzhen Stock Exchange,三湘印象,"000863"
Shenzhen Stock Exchange,安凯客车,"000868"
Shenzhen Stock Exchange,新希望,"000876"
Shenzhen Stock Exchange,天山股份,"000877"
Shenzhen Stock Exchange,云南铜业,"000878"
Shenzhen Stock Exchange,潍柴重机,"000880"
Shenzhen Stock Exchange,中广核技,"000881"
Shenzhen Stock Exchange,华联股份,"000882"
Shenzhen Stock Exchange,湖北能源,"000883"
Shenzhen Stock Exchange,城发环境,"000885"
Shenzhen Stock Exchange,海南高速,"000886"
Shenzhen Stock Exchange,中鼎股份,"000887"
Shenzhen Stock Exchange,峨眉山A,"000888"
Shenzhen Stock Exchange,中嘉博创,"000889"
Shenzhen Stock Exchange,法尔胜,"000890"
Shenzhen Stock Exchange,欢瑞世纪,"000892"
Shenzhen Stock Exchange,亚钾国际,"000893"
Shenzhen Stock Exchange,双汇发展,"000895"
Shenzhen Stock Exchange,豫能控股,"001896"
Shenzhen Stock Exchange,津滨发展,"000897"
Shenzhen Stock Exchange,鞍钢股份,"000898"
Shenzhen Stock Exchange,赣能股份,"000899"
Shenzhen Stock Exchange,现代投资,"000900"
Shenzhen Stock Exchange,航天科技,"000901"
Shenzhen Stock Exchange,新洋丰,"000902"
Shenzhen Stock Exchange,ST云动,"000903"
Shenzhen Stock Exchange,厦门港务,"000905"
Shenzhen Stock Exchange,浙商中拓,"000906"
Shenzhen Stock Exchange,ST景峰,"000908"
Shenzhen Stock Exchange,ST数源,"000909"
Shenzhen Stock Exchange,大亚圣象,"000910"
Shenzhen Stock Exchange,广农糖业,"000911"
Shenzhen Stock Exchange,泸天化,"000912"
Shenzhen Stock Exchange,钱江摩托,"000913"
Shenzhen Stock Exchange,华特达因,"000915"
Shenzhen Stock Exchange,电广传媒,"000917"
Shenzhen Stock Exchange,金陵药业,"000919"
Shenzhen Stock Exchange,沃顿科技,"000920"
Shenzhen Stock Exchange,海信家电,"000921"
Shenzhen Stock Exchange,佳电股份,"000922"
Shenzhen Stock Exchange,河钢资源,"000923"
Shenzhen Stock Exchange,众合科技,"000925"
Shenzhen Stock Exchange,福星股份,"000926"
Shenzhen Stock Exchange,中国铁物,"000927"
Shenzhen Stock Exchange,中钢国际,"000928"
Shenzhen Stock Exchange,*ST兰黄,"000929"
Shenzhen Stock Exchange,中粮科技,"000930"
Shenzhen Stock Exchange,中关村,"000931"
Shenzhen Stock Exchange,华菱钢铁,"000932"
Shenzhen Stock Exchange,神火股份,"000933"
Shenzhen Stock Exchange,四川双马,"000935"
Shenzhen Stock Exchange,华西股份,"000936"
Shenzhen Stock Exchange,冀中能源,"000937"
Shenzhen Stock Exchange,紫光股份,"000938"
Shenzhen Stock Exchange,南天信息,"000948"
Shenzhen Stock Exchange,新乡化纤,"000949"
Shenzhen Stock Exchange,重药控股,"000950"
Shenzhen Stock Exchange,中国重汽,"000951"
Shenzhen Stock Exchange,广济药业,"000952"
Shenzhen Stock Exchange,河化股份,"000953"
Shenzhen Stock Exchange,欣龙控股,"000955"
Shenzhen Stock Exchange,中通客车,"000957"
Shenzhen Stock Exchange,电投产融,"000958"
Shenzhen Stock Exchange,首钢股份,"000959"
Shenzhen Stock Exchange,锡业股份,"000960"
Shenzhen Stock Exchange,东方钽业,"000962"
Shenzhen Stock Exchange,华东医药,"000963"
Shenzhen Stock Exchange,天保基建,"000965"
Shenzhen Stock Exchange,长源电力,"000966"
Shenzhen Stock Exchange,盈峰环境,"000967"
Shenzhen Stock Exchange,蓝焰控股,"000968"
Shenzhen Stock Exchange,安泰科技,"000969"
Shenzhen Stock Exchange,中科三环,"000970"
Shenzhen Stock Exchange,*ST中基,"000972"
Shenzhen Stock Exchange,佛塑科技,"000973"
Shenzhen Stock Exchange,山金国际,"000975"
Shenzhen Stock Exchange,浪潮信息,"000977"
Shenzhen Stock Exchange,桂林旅游,"000978"
Shenzhen Stock Exchange,众泰汽车,"000980"
Shenzhen Stock Exchange,山子高科,"000981"
Shenzhen Stock Exchange,山西焦煤,"000983"
Shenzhen Stock Exchange,大庆华科,"000985"
Shenzhen Stock Exchange,越秀资本,"000987"
Shenzhen Stock Exchange,华工科技,"000988"
Shenzhen Stock Exchange,九芝堂,"000989"
Shenzhen Stock Exchange,诚志股份,"000990"
Shenzhen Stock Exchange,闽东电力,"000993"
Shenzhen Stock Exchange,皇台酒业,"000995"
Shenzhen Stock Exchange,新大陆,"000997"
Shenzhen Stock Exchange,隆平高科,"000998"
Shenzhen Stock Exchange,华润三九,"000999"
Shenzhen Stock Exchange,ST晨鸣,"000488"
Shenzhen Stock Exchange,京东方A,"000725"
Shenzhen Stock Exchange,鲁泰A,"000726"
Shenzhen Stock Exchange,张裕A,"000869"
Shanghai Stock Exchange,浦发银行,"600000"
Shanghai Stock Exchange,东风股份,"600006"
Shanghai Stock Exchange,中国国贸,"600007"
Shanghai Stock Exchange,首创环保,"600008"
Shanghai Stock Exchange,上海机场,"600009"
Shanghai Stock Exchange,宁波联合,"600051"
Shanghai Stock Exchange,东望时代,"600052"
Shanghai Stock Exchange,九鼎投资,"600053"
Shanghai Stock Exchange,黄山旅游,"600054"
Shanghai Stock Exchange,万东医疗,"600055"
Shanghai Stock Exchange,中国医药,"600056"
Shanghai Stock Exchange,厦门象屿,"600057"
Shanghai Stock Exchange,五矿发展,"600058"
Shanghai Stock Exchange,古越龙山,"600059"
Shanghai Stock Exchange,海信视像,"600060"
Shanghai Stock Exchange,国投资本,"600061"
Shanghai Stock Exchange,华润双鹤,"600062"
Shanghai Stock Exchange,皖维高新,"600063"
Shanghai Stock Exchange,南京高科,"600064"
Shanghai Stock Exchange,宇通客车,"600066"
Shanghai Stock Exchange,冠城新材,"600067"
Shanghai Stock Exchange,凤凰光学,"600071"
Shanghai Stock Exchange,中船科技,"600072"
Shanghai Stock Exchange,光明肉业,"600073"
Shanghai Stock Exchange,新疆天业,"600075"
Shanghai Stock Exchange,康欣新材,"600076"
Shanghai Stock Exchange,澄星股份,"600078"
Shanghai Stock Exchange,人福医药,"600079"
Shanghai Stock Exchange,金花股份,"600080"
Shanghai Stock Exchange,东风科技,"600081"
Shanghai Stock Exchange,海泰发展,"600082"
Shanghai Stock Exchange,中信尼雅,"600084"
Shanghai Stock Exchange,同仁堂,"600085"
Shanghai Stock Exchange,招商南油,"601975"
Shanghai Stock Exchange,中视传媒,"600088"
Shanghai Stock Exchange,特变电工,"600089"
Shanghai Stock Exchange,大名城,"600094"
Shanghai Stock Exchange,湘财股份,"600095"
Shanghai Stock Exchange,云天化,"600096"
Shanghai Stock Exchange,开创国际,"600097"
Shanghai Stock Exchange,广州发展,"600098"
Shanghai Stock Exchange,林海股份,"600099"
Shanghai Stock Exchange,同方股份,"600100"
Shanghai Stock Exchange,明星电力,"600101"
Shanghai Stock Exchange,青山纸业,"600103"
Shanghai Stock Exchange,上汽集团,"600104"
Shanghai Stock Exchange,永鼎股份,"600105"
Shanghai Stock Exchange,重庆路桥,"600106"
Shanghai Stock Exchange,ST尔雅,"600107"
Shanghai Stock Exchange,亚盛集团,"600108"
Shanghai Stock Exchange,国金证券,"600109"
Shanghai Stock Exchange,诺德股份,"600110"
Shanghai Stock Exchange,北方稀土,"600111"
Shanghai Stock Exchange,浙江东日,"600113"
Shanghai Stock Exchange,中国东航,"600115"
Shanghai Stock Exchange,三峡水利,"600116"
Shanghai Stock Exchange,西宁特钢,"600117"
Shanghai Stock Exchange,中国卫星,"600118"
Shanghai Stock Exchange,长江投资,"600119"
Shanghai Stock Exchange,浙江东方,"600120"
Shanghai Stock Exchange,郑州煤电,"600121"
Shanghai Stock Exchange,兰花科创,"600123"
Shanghai Stock Exchange,铁龙物流,"600125"
Shanghai Stock Exchange,杭钢股份,"600126"
Shanghai Stock Exchange,金健米业,"600127"
Shanghai Stock Exchange,苏豪弘业,"600128"
Shanghai Stock Exchange,太极集团,"600129"
Shanghai Stock Exchange,*ST波导,"600130"
Shanghai Stock Exchange,国网信通,"600131"
Shanghai Stock Exchange,重庆啤酒,"600132"
Shanghai Stock Exchange,东湖高新,"600133"
Shanghai Stock Exchange,乐凯胶片,"600135"
Shanghai Stock Exchange,ST明诚,"600136"
